Notikuma identifikators;Vērtība;Lauka nosaukums
220413921;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220457027;CITS IEMESLS;Iemesls
220506513;CITS IEMESLS;Iemesls
220514414;CITS IEMESLS;Iemesls
220575393;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220523851;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220385754;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220544657;CITS IEMESLS;Iemesls
220399455;CITS IEMESLS;Iemesls
220660694;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220554472;CITS IEMESLS;Iemesls
220422138;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220545637;DROŠA INTERVĀLA NEIEVĒROŠANA;Iemesls
220649142;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220573564;CITS IEMESLS;Iemesls
220585561;NEPAREIZA ĀTRUMA IZVĒLE;Iemesls
220552443;CITS IEMESLS;Iemesls
220551337;CITS IEMESLS;Iemesls
220675754;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220518367;CITS IEMESLS;Iemesls
220661782;CITS IEMESLS;Iemesls
220396951;NEPAREIZA ĀTRUMA IZVĒLE;Iemesls
220402264;NEPAREIZA ĀTRUMA IZVĒLE;Iemesls
220497770;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220562937;GĀJĒJA ATRAŠANĀS UZ BRAUKTUVES TAM NEPAREDZĒTAJĀ VIETĀ;Iemesls
220679952;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220676387;METEOROLOĢISKIE APSTĀKĻI;Iemesls
